Freq.	V(vout)
1.24738351424294e+000	(-4.87960132071957e-004dB,-3.70860860900700e-002°)
1.25025903021771e+000	(-4.87960112057181e-004dB,-3.71715783493694e-002°)
1.25314117494141e+000	(-4.87960091938251e-004dB,-3.72572676886911e-002°)
1.25602996369487e+000	(-4.87960071714203e-004dB,-3.73431545623607e-002°)
1.25892541179416e+000	(-4.87960051411077e-004dB,-3.74292394257241e-002°)
1.26182753459066e+000	(-4.87960031006690e-004dB,-3.75155227352012e-002°)
1.26473634747115e+000	(-4.87960010520331e-004dB,-3.76020049482611e-002°)
1.26765186585784e+000	(-4.87959989921139e-004dB,-3.76886865234248e-002°)
1.27057410520854e+000	(-4.87959969238046e-004dB,-3.77755679202660e-002°)
1.27350308101666e+000	(-4.87959948463336e-004dB,-3.78626495994211e-002°)
1.27643880881134e+000	(-4.87959927578688e-004dB,-3.79499320225851e-002°)
1.27938130415752e+000	(-4.87959906612066e-004dB,-3.80374156525345e-002°)
1.28233058265602e+000	(-4.87959885543221e-004dB,-3.81251009530873e-002°)
1.28528665994361e+000	(-4.87959864388545e-004dB,-3.82129883891439e-002°)
1.28824955169313e+000	(-4.87959843117179e-004dB,-3.83010784266729e-002°)
1.29121927361353e+000	(-4.87959821759983e-004dB,-3.83893715327230e-002°)
1.29419584144998e+000	(-4.87959800289955e-004dB,-3.84778681754183e-002°)
1.29717927098395e+000	(-4.87959778733132e-004dB,-3.85665688239508e-002°)
1.30016957803328e+000	(-4.87959757072156e-004dB,-3.86554739486157e-002°)
1.30316677845229e+000	(-4.87959735315706e-004dB,-3.87445840207624e-002°)
1.30617088813183e+000	(-4.87959713462818e-004dB,-3.88338995128554e-002°)
1.30918192299940e+000	(-4.87959691486489e-004dB,-3.89234208984331e-002°)
1.31219989901920e+000	(-4.87959669428188e-004dB,-3.90131486521342e-002°)
1.31522483219223e+000	(-4.87959647272484e-004dB,-3.91030832496699e-002°)
1.31825673855640e+000	(-4.87959625007805e-004dB,-3.91932251678859e-002°)
1.32129563418657e+000	(-4.87959602623542e-004dB,-3.92835748846916e-002°)
1.32434153519466e+000	(-4.87959580153450e-004dB,-3.93741328791208e-002°)
1.32739445772973e+000	(-4.87959557584027e-004dB,-3.94648996312968e-002°)
1.33045441797808e+000	(-4.87959534903699e-004dB,-3.95558756224613e-002°)
1.33352143216332e+000	(-4.87959512127898e-004dB,-3.96470613349515e-002°)
1.33659551654643e+000	(-4.87959489232513e-004dB,-3.97384572522345e-002°)
1.33967668742593e+000	(-4.87959466229118e-004dB,-3.98300638588802e-002°)
1.34276496113786e+000	(-4.87959443129284e-004dB,-3.99218816405732e-002°)
1.34586035405594e+000	(-4.87959419926262e-004dB,-4.00139110841281e-002°)
1.34896288259164e+000	(-4.87959396608478e-004dB,-4.01061526774720e-002°)
1.35207256319427e+000	(-4.87959373179791e-004dB,-4.01986069096646e-002°)
1.35518941235103e+000	(-4.87959349651772e-004dB,-4.02912742708848e-002°)
1.35831344658715e+000	(-4.87959326016707e-004dB,-4.03841552524509e-002°)
1.36144468246594e+000	(-4.87959302269773e-004dB,-4.04772503467998e-002°)
1.36458313658892e+000	(-4.87959278406149e-004dB,-4.05705600475244e-002°)
1.36772882559584e+000	(-4.87959254442230e-004dB,-4.06640848493319e-002°)
1.37088176616484e+000	(-4.87959230354870e-004dB,-4.07578252480895e-002°)
